Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
AC8504,2024-06-20,Won,Yes,Yes,Yes,No,No,No,No,,,
AC8504,2025-06-20,,,,,,,,,,,
AC9030,2023-07-01,,,,,,,,,,,
AC9030,2024-07-01,,,,,,,,,,,
AC9074,2024-09-26,,,,,,,,,,,
AC9264,,,,,,No,No,No,No,,,
AC9264,2023-08-17,,,,,,,,,,,
AC9264,2024-08-17,,,,,,,,,,,
AC9264,2025-08-17,,,,,,,,,,,
AC9302,2025-06-06,Churned,No,No,No,No,No,No,No,,,
AC9367,2023-10-20,,,,,,,,,,,
AC9367,2024-10-20,,,,,,,,,,,
AC9367,2025-10-20,,,,,,,,,,,
AC9436,,,,,,No,No,No,No,,,
AC9742,2023-07-01,,,,,,,,,,,
AC9742,2024-07-01,,,,,,,,,,,
AC9742,2025-01-07,Won,No,No,No,No,No,No,No,,,
AC9742,2025-07-01,,,,,,,,,,,
AC9742,2026-01-07,Won,No,No,No,No,No,No,No,,,
AC9742,2026-07-01,,,,,,,,,,,
AC9850,2023-04-25,,,,,,,,,,,
AC9850,2024-04-25,,,,,,,,,,,
AD0114,2025-03-21,Won,No,unknown,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Satisfied,Not Discussed
AD0114,2025-03-21,Won,No,unknown,No,No,No,No,No,No,Satisfied,Not Discussed
AD0243,2026-01-09,Won,No,No,No,,,,,,,
AD0310,2024-07-19,,,,,,,,,,,
AD0458,,,,,,No,No,No,No,,,
AD0458,2023-03-12,,,,,,,,,,,
AD0458,2024-03-12,,,,,,,,,,,
AD0458,2025-03-12,,,,,,,,,,,
AD0638,2023-03-17,,,,,,,,,,,
AD0638,2025-04-23,,,,,,,,,,,
AD0668,2025-05-09,Won,No,No,Yes,No,No,No,No,,,
AD0699,2023-08-18,,,,,,,,,,,
AD0761,2025-04-19,Won,Yes,unknown,No,No,Yes,No,Yes,,,
AD0880,,,,,,No,No,No,No,,,
AD0922,,,,,,No,No,No,No,,,
AD0922,2025-08-20,,,,,,,,,,,
AD1072,2024-11-29,Won,No,No,Yes,No,No,No,No,,,
AD1072,2025-11-29,,,,,,,,,,,
AD1343,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AD1343,,,,,,No,No,No,No,,,
AD1343,2025-03-28,,,,,,,,,No,Satisfied,Not Discussed
AD1356,2023-03-05,,,,,,,,,,,
AD1356,2024-03-05,,,,,,,,,,,
AD1356,2024-05-03,Won,No,No,No,No,No,No,No,,,
AD1356,2025-03-05,,,,,,,,,,,
AD1563,,,,,,No,No,No,No,,,
AD1563,2025-03-14,,,,,,,,,,,
AD1655,2023-04-27,,,,,,,,,,,
AD1655,2024-04-27,,,,,,,,,,,
AD1655,2025-04-27,Won,No,unknown,No,No,No,No,No,,,
AD1657,2026-02-18,Won,No,Yes,No,Yes,Yes,Yes,No,No,Satisfied,90
AD1681,2023-05-17,,,,,,,,,,,
AD1681,2024-05-17,,,,,,,,,,,
AD1681,2025-05-17,Won,No,No,No,No,No,No,No,,,
AD1830,2024-05-12,,,,,,,,,,,
AD1830,2024-12-05,Won,No,No,No,No,No,No,No,,,
AD1830,2025-05-12,,,,,,,,,,,
AD2140,2024-06-06,Won,No,No,No,No,No,No,No,,,
AD2140,2025-06-06,Won,No,No,No,No,No,No,No,,,
AD2220,2023-09-26,,,,,,,,,,,
AD2220,2024-09-26,,,,,,,,,,,
AD2220,2025-09-26,Won,No,No,No,No,No,No,No,,,
AD2265,,,,,,No,No,No,No,,,
AD2265,2023-05-21,,,,,,,,,,,
AD2265,2024-05-21,,,,,,,,,,,
AD2265,2025-05-21,,,,,,,,,,,
AD2389,,,,,,No,Yes,Yes,No,,,
AD2389,2023-11-26,,,,,,,,,,,
AD2389,2024-11-26,,,,,,,,,,,
AD2389,2025-11-26,,,,,,,,,,,
AD2839,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AD2839,,,,,,No,No,No,No,,,
AD2839,2023-01-24,,,,,,,,,,,
AD2839,2024-01-24,,,,,,,,,,,
AD2839,2025-01-24,,,,,,,,,,,
AD2839,2026-01-24,,,,,,,,,,,
AD3239,2023-03-21,,,,,,,,,,,
AD3239,2024-03-21,,,,,,,,,,,
AD3239,2025-03-21,Won,No,unknown,No,No,No,No,No,,,
AD3246,2023-06-02,,,,,,,,,,,
AD3246,2024-06-02,,,,,,,,,,,
AD3246,2025-02-06,Won,No,No,No,No,No,No,No,,,
AD3246,2025-06-02,,,,,,,,,,,
AD3246,2026-06-02,,,,,,,,,,,
AD3632,2024-10-25,Won,No,No,No,No,No,No,No,,,
AD3632,2025-10-25,Won,No,No,No,No,No,No,No,,,
AD3672,2025-01-12,Won,No,No,No,No,No,No,No,,,
AD3672,2026-01-12,Won,Yes,Yes,No,No,No,No,No,,,
AD3759,2023-01-30,,,,,,,,,,,
AD3759,2024-01-30,,,,,,,,,,,
AD3976,2023-06-24,,,,,,,,,,,
AD3976,2024-06-24,,,,,,,,,,,
AD3976,2025-06-24,Won,No,No,No,No,No,No,No,,,
AD4119,,,,,,Yes,Yes,Yes,No,,,
AD4119,2025-05-23,,,,,,,,,,,
AD4863,2024-10-09,Won,No,No,No,,,,,,,
AD4885,2023-08-29,,,,,,,,,,,
AD4885,2024-08-29,,,,,,,,,,,
AD5124,2025-11-09,Churned,No,No,No,No,No,No,No,,,
AD5239,,,,,,No,No,No,No,,,
AD5239,2023-10-28,,,,,,,,,,,
AD5239,2024-10-28,,,,,,,,,,,
AD5239,2025-10-28,,,,,,,,,,,
AD5422,2023-05-14,,,,,,,,,,,
AD5422,2024-05-14,,,,,,,,,,,
AD5655,2024-05-22,,,,,,,,,,,
AD5655,2025-05-22,,,,,,,,,,,
AD6195,,,,,,No,No,No,No,,,
AD6195,2023-08-05,,,,,,,,,,,
AD6195,2024-08-05,,,,,,,,,,,
AD6195,2025-08-05,,,,,,,,,,,
AD6202,2023-05-26,,,,,,,,,,,
AD6202,2024-05-26,,,,,,,,,,,
AD6202,2025-05-26,,,,,,,,,,,
AD6431,,,,,,No,No,No,No,,,
AD6912,2023-08-10,,,,,,,,,,,
AD6912,2024-08-10,,,,,,,,,,,
AD7043,2024-01-13,,,,,,,,,,,
AD7117,,,,,,No,Yes,No,No,,,
AD7117,2025-05-30,,,,,,,,,,,
AD7151,2025-06-23,Won,No,No,No,No,No,No,No,,,
AD7382,2025-03-24,Won,No,No,No,No,No,No,No,,,
AD7629,,,,,,No,No,No,No,,,
AD7704,,,,,,No,No,No,No,,,
AD7727,2025-06-04,Won,Yes,Yes,No,Yes,Yes,Yes,No,,,
AD7903,,,,,,No,No,No,No,,,
AD7903,2025-07-20,,,,,,,,,No,Not Discussed,Not Discussed
AD8539,2026-02-06,Churned,Yes,Yes,Yes,Yes,Yes,No,No,,,
AD8539,2026-06-02,,,,,,,,,,,
AD8718,2023-11-17,,,,,,,,,,,
AD8718,2024-11-17,,,,,,,,,,,
AD8718,2025-11-17,,,,,,,,,,,
AD8935,,,,,,No,No,No,No,,,
AD8935,2024-07-25,,,,,,,,,,,
AD8935,2025-07-25,,,,,,,,,,,
AD8939,2024-06-01,,,,,,,,,,,
AD8939,2025-01-06,Won,No,No,No,No,No,No,Yes,,,
AD8939,2025-06-01,,,,,,,,,,,
AD8939,2026-06-01,,,,,,,,,,,
AD9098,2023-07-11,,,,,,,,,,,
AD9098,2024-07-11,,,,,,,,,,,
AD9098,2025-07-11,,,,,,,,,,,
AD9098,2025-11-07,Won,No,No,No,No,No,No,No,,,
AD9123,2024-03-08,,,,,,,,,,,
AD9123,2025-03-08,,,,,,,,,,,
AD9302,2023-11-04,,,,,,,,,,,
AD9391,2023-05-25,,,,,,,,,,,
AD9391,2024-05-25,,,,,,,,,,,
AD9391,2025-05-25,,,,,,,,,,,
AD9511,2023-06-29,,,,,,,,,,,
AD9541,,,,,,No,No,No,No,,,
AD9995,2024-03-28,,,,,,,,,,,
AD9995,2025-03-28,Won,No,unknown,No,No,No,No,No,,,
AE0019,,,,,,No,No,No,No,,,
AE0019,2023-09-18,,,,,,,,,,,
AE0019,2024-09-18,,,,,,,,,,,
AE0019,2025-09-18,,,,,,,,,,,
AE0118,2024-09-19,Won,No,Yes,No,No,No,No,Yes,,,
