Co_Ref,Prospect_Renewal_Date,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
HX4856,16-01-2026,No,Satisfied,Not Discussed
IS8334,10-01-2026,No,Neutral,Not Discussed
YW0800,22-01-2026,No,Satisfied,90
LC0951,23-01-2026,No,Neutral,Not Discussed
FE3465,22-01-2026,No,Satisfied,Not Discussed
OG7939,21-01-2026,No,Satisfied,Not Discussed
PH3542,10-01-2026,No,Neutral,Not Discussed
JL1691,06-01-2026,No,Neutral,Not Discussed
QE7976,31-01-2026,No,Not Discussed,Not Discussed
PM4249,12-01-2026,No,Neutral,Not Discussed
RA4603,10-01-2026,No,Neutral,Not Discussed
IC2212,29-01-2026,No,Not Discussed,Not Discussed
RO3094,02-02-2026,No,Satisfied,Not Discussed
IL9699,25-01-2026,No,Satisfied,Not Discussed
GK6414,28-01-2026,No,Neutral,Not Discussed
RL4242,02-02-2026,No,Neutral,Not Discussed
OP8892,28-01-2026,No,Neutral,Not Discussed
GB1273,20-01-2026,No,Neutral,Not Discussed
FV4450,14-01-2026,No,Neutral,Not Discussed
LA1987,01-02-2026,No,Neutral,Not Discussed
OE1020,28-01-2026,No,Neutral,Not Discussed
SW2143,16-01-2026,No,Satisfied,Not Discussed
NH6428,10-01-2026,Yes,Satisfied,90
EK4323,21-01-2026,No,Satisfied,Not Discussed
AA0784,29-01-2026,No,Neutral,Not Discussed
YE2281,26-01-2026,No,Neutral,Not Discussed
YU1986,19-01-2026,No,Satisfied,90
YX4000,16-01-2026,No,Satisfied,80
AK9167,11-01-2026,No,Satisfied,80
SR2638,07-01-2026,No,Satisfied,80
UK0170,10-01-2026,No,Satisfied,Not Discussed
DX2715,15-01-2026,No,Satisfied,Not Discussed
VP6491,17-01-2026,No,Not Discussed,Not Discussed
WH3820,05-01-2026,No,Satisfied,85
OU4617,08-01-2026,No,Satisfied,Not Discussed
OZ2670,30-01-2026,No,Neutral,Not Discussed
PH7172,19-01-2026,Yes,Neutral,70
PJ4515,08-01-2026,No,Dissatisfied,0
IB7703,28-01-2026,No,Satisfied,Not Discussed
QO8335,28-01-2026,No,Not Discussed,Not Discussed
GL0356,03-01-2026,No,Neutral,70
RO6285,05-01-2026,No,Neutral,60
AQ5710,18-01-2026,No,Satisfied,90
BN7430,27-01-2026,No,Satisfied,Not Discussed
VY2159,31-01-2026,No,Neutral,70
MU2926,26-01-2026,No,Neutral,Not Discussed
VU2111,16-01-2026,No,Satisfied,Not Discussed
SW2111,04-01-2026,No,Satisfied,90
WZ3185,21-01-2026,No,Neutral,80
IQ3762,28-01-2026,No,Satisfied,Not Discussed
IQ5686,09-01-2026,No,Dissatisfied,Not Discussed
GF5081,24-01-2026,No,Satisfied,Not Discussed
OR6867,16-01-2026,No,Dissatisfied,60
BZ0369,25-01-2026,No,Neutral,Not Discussed
KH6428,19-01-2026,No,Satisfied,Not Discussed
IS2804,27-01-2026,No,Satisfied,Not Discussed
GK3202,17-01-2026,No,Neutral,Not Discussed
WV8619,14-01-2026,No,Neutral,Not Discussed
VT2122,29-01-2026,No,Neutral,80
BP8021,15-01-2026,No,Neutral,Not Discussed
FT9601,13-01-2026,Unknown,Neutral,Not Discussed
UA6574,30-01-2026,No,Not Discussed,Not Discussed
MA9154,14-01-2026,No,Satisfied,Not Discussed
OH8251,09-01-2026,No,Satisfied,Not Discussed
DM3499,07-01-2026,No,Satisfied,90
GV8744,15-01-2026,No,Neutral,Not Discussed
BN8330,08-01-2026,No,Neutral,80
RX6020,14-01-2026,No,Neutral,Not Discussed
GT5998,02-01-2026,No,Neutral,Not Discussed
PQ9907,05-01-2026,No,Satisfied,90
XL1021,11-01-2026,No,Neutral,Not Discussed
KL4528,08-01-2026,No,Satisfied,Not Discussed
WW3788,14-01-2026,No,Satisfied,90
FU5836,20-01-2026,No,Satisfied,Not Discussed
PY3797,22-01-2026,No,Neutral,Not Discussed
VN1058,10-01-2026,No,Neutral,Not Discussed
BV8478,25-01-2026,No,Neutral,Not Discussed
VE7735,20-01-2026,No,Neutral,80
AJ6157,15-01-2026,No,Satisfied,80
GO7257,16-01-2026,No,Satisfied,Not Discussed
BV1759,28-01-2026,No,Satisfied,90
CX1554,29-01-2026,No,Neutral,Not Discussed
DV8640,09-01-2026,No,Neutral,70
YX8375,06-01-2026,No,Neutral,Not Discussed
HP3662,06-01-2026,No,Neutral,Not Discussed
NW2145,14-01-2026,No,Neutral,Not Discussed
RO7457,29-01-2026,No,Not Discussed,Not Discussed
WW0022,14-01-2026,No,Neutral,Not Discussed
IY8568,17-01-2026,No,Not Discussed,Not Discussed
PY8360,26-01-2026,No,Neutral,Not Discussed
TP7977,20-01-2026,No,Satisfied,90
EI5796,16-01-2026,No,Neutral,Not Discussed
LY8540,22-01-2026,No,Neutral,Not Discussed
QF0841,06-01-2026,No,Neutral,Not Discussed
EY6874,30-12-2025,No,Not Discussed,Not Discussed
KD5081,26-01-2026,No,Satisfied,Not Discussed
UU6901,10-01-2026,Yes,Neutral,60
CV4553,15-01-2026,No,Neutral,Not Discussed
AX8636,11-01-2026,No,Neutral,80
XJ8000,09-01-2026,No,Neutral,Not Discussed
IN4798,29-12-2025,No,Neutral,Not Discussed
RR5802,19-01-2026,No,Neutral,Not Discussed
XI7801,10-01-2026,No,Satisfied,Not Discussed
NG5670,22-01-2026,No,Neutral,80
MI4061,17-01-2026,No,Satisfied,Not Discussed
DN7064,15-01-2026,No,Neutral,Not Discussed
GI9923,10-01-2026,Yes,Satisfied,90
CP1106,10-01-2026,No,Satisfied,Not Discussed
RW9289,16-01-2026,No,Satisfied,Not Discussed
LM2049,10-01-2026,No,Neutral,Not Discussed
YP5791,14-01-2026,No,Satisfied,Not Discussed
AH6048,10-01-2026,Yes,Neutral,80
BO6512,20-01-2026,No,Satisfied,Not Discussed
EI7483,12-01-2026,No,Satisfied,Not Discussed
US1233,21-01-2026,No,Satisfied,90
CJ5531,12-01-2026,No,Neutral,Not Discussed
EM8989,14-01-2026,No,Neutral,Not Discussed
WQ5835,20-01-2026,No,Neutral,80
HU5568,15-01-2026,No,Neutral,Not Discussed
JD7943,10-01-2026,No,Satisfied,90
OF4125,10-01-2026,No,Neutral,Not Discussed
NU5326,17-01-2026,No,Satisfied,90
JJ0497,09-01-2026,No,Satisfied,Not Discussed
IU0344,02-01-2026,No,Dissatisfied,40
WW9753,13-01-2026,No,Neutral,80
IR7594,01-01-2026,No,Satisfied,Not Discussed
NS2392,04-01-2026,No,Neutral,80
ID8431,08-01-2026,No,Neutral,Not Discussed
BQ0374,16-01-2026,No,Satisfied,Not Discussed
QB5197,15-01-2026,No,Satisfied,90
XW4717,02-01-2026,No,Satisfied,85
LY7469,15-01-2026,No,Satisfied,Not Discussed
KY3848,20-01-2026,No,Neutral,Not Discussed
NV1403,09-01-2026,No,Satisfied,Not Discussed
SK9408,02-01-2026,No,Neutral,Not Discussed
GC3242,20-01-2026,No,Satisfied,Not Discussed
OX9554,22-12-2025,No,Satisfied,Not Discussed
AW3140,08-01-2026,No,Neutral,80
GU0883,20-01-2026,No,Satisfied,80
HD1683,19-12-2025,Yes,Neutral,Not Discussed
TV7356,16-01-2026,No,Satisfied,Not Discussed
GF9937,13-01-2026,No,Neutral,Not Discussed
PK9194,30-12-2025,No,Neutral,Not Discussed
BN4572,13-01-2026,No,Neutral,80
FS9908,18-01-2026,No,Satisfied,90
NM3607,16-01-2026,No,Neutral,Not Discussed
DI6269,07-01-2026,No,Neutral,Not Discussed
MP3923,04-01-2026,No,Neutral,Not Discussed
FK5883,09-01-2026,No,Neutral,80
RS9150,14-01-2026,Yes,Dissatisfied,20
YL0136,08-01-2026,No,Neutral,Not Discussed
QJ4917,14-01-2026,No,Neutral,Not Discussed
PZ4843,04-01-2026,No,Satisfied,Not Discussed
IV6353,07-01-2026,No,Satisfied,85
PL2674,02-01-2026,No,Neutral,60
FR3311,21-12-2025,No,Neutral,Not Discussed
LY5989,21-12-2025,No,Neutral,Not Discussed
VT3365,17-01-2026,No,Satisfied,Not Discussed
VX1486,10-01-2026,No,Neutral,Not Discussed
PS6891,15-01-2026,No,Neutral,Not Discussed
GB3360,21-12-2025,No,Satisfied,85
QT9395,16-12-2025,No,Satisfied,80
OK8688,16-12-2025,No,Satisfied,Not Discussed
MP9493,18-12-2025,No,Neutral,Not Discussed
EL1723,16-01-2026,No,Satisfied,Not Discussed
GW5629,08-01-2026,No,Satisfied,Not Discussed
KQ9602,15-01-2026,No,Dissatisfied,Not Discussed
ZE9581,15-12-2025,No,Neutral,Not Discussed
ZZ6043,12-01-2026,No,Satisfied,Not Discussed
PE9209,01-01-2026,No,Neutral,Not Discussed
DE7032,18-12-2025,No,Satisfied,95
QL9339,04-01-2026,No,Neutral,80
FG2760,16-12-2025,No,Satisfied,Not Discussed
RY4106,09-01-2026,No,Satisfied,Not Discussed
WV2316,09-01-2026,No,Satisfied,Not Discussed
BC5820,13-12-2025,No,Satisfied,90
JO8329,12-12-2025,No,Satisfied,Not Discussed
PR1065,19-12-2025,No,Neutral,Not Discussed
FE3534,18-12-2025,No,Neutral,Not Discussed
UW7805,13-12-2025,No,Neutral,Not Discussed
RS5524,19-12-2025,No,Satisfied,90
ZO0240,12-12-2025,No,Not Discussed,Not Discussed
PP8804,24-12-2025,No,Satisfied,Not Discussed
KV8261,14-12-2025,No,Neutral,Not Discussed
HR6951,21-12-2025,No,Neutral,Not Discussed
IT3235,09-01-2026,No,Satisfied,90
SG1646,10-12-2025,No,Satisfied,Not Discussed
GF1646,04-01-2026,No,Neutral,Not Discussed
DI3621,17-12-2025,No,Satisfied,Not Discussed
CL8865,09-12-2025,No,Satisfied,90
OR4471,23-12-2025,No,Dissatisfied,60
CT4855,09-12-2025,No,Neutral,80
AB2419,16-12-2025,No,Satisfied,Not Discussed
XR9735,02-01-2026,No,Neutral,Not Discussed
NX9283,23-12-2025,No,Satisfied,90
FC4759,13-12-2025,No,Neutral,Not Discussed
RU4889,23-12-2025,No,Satisfied,Not Discussed
OI9329,09-12-2025,No,Satisfied,90
BK1105,11-12-2025,No,Neutral,Not Discussed
HB8972,09-12-2025,No,Satisfied,Not Discussed
CF9920,23-12-2025,No,Neutral,Not Discussed
JJ5038,21-12-2025,No,Neutral,Not Discussed
VV0799,10-12-2025,No,Neutral,60
LH0963,08-12-2025,No,Neutral,80
JO3264,19-12-2025,No,Neutral,Not Discussed
AA6838,06-12-2025,No,Dissatisfied,90
SY7170,13-12-2025,No,Neutral,Not Discussed
CB8131,09-12-2025,No,Neutral,Not Discussed
HU6230,21-12-2025,No,Satisfied,Not Discussed
IS7802,09-12-2025,No,Neutral,Not Discussed
HI0343,12-12-2025,No,Satisfied,90
KG0654,23-12-2025,Yes,Neutral,Not Discussed
LB8383,18-12-2025,No,Neutral,Not Discussed
YV5667,18-12-2025,No,Satisfied,Not Discussed
ZF9958,17-12-2025,No,Not Discussed,Not Discussed
FE8181,04-01-2026,No,Neutral,Not Discussed
RG0161,06-12-2025,No,Neutral,Not Discussed
UK3381,17-12-2025,No,Satisfied,90
MW0609,14-12-2025,Yes,Satisfied,Not Discussed
GX0455,19-12-2025,No,Neutral,Not Discussed
QS6062,10-12-2025,No,Satisfied,Not Discussed
DY4097,23-12-2025,No,Dissatisfied,Not Discussed
BT8417,16-12-2025,No,Satisfied,Not Discussed
DZ2834,09-12-2025,No,Neutral,Not Discussed
QW5756,15-12-2025,No,Satisfied,90
XG4315,13-12-2025,No,Not Discussed,Not Discussed
WN7336,03-12-2025,No,Satisfied,Not Discussed
DL3274,10-12-2025,No,Neutral,Not Discussed
IR1360,09-12-2025,No,Dissatisfied,20
UU0674,05-12-2025,No,Satisfied,Not Discussed
KV2419,17-12-2025,No,Satisfied,90
JO5830,13-12-2025,No,Satisfied,90
ND5240,15-12-2025,No,Satisfied,Not Discussed
ST1140,03-12-2025,No,Satisfied,90
LN4291,15-12-2025,No,Satisfied,Not Discussed
ZT3673,15-12-2025,No,Satisfied,Not Discussed
WL2892,06-12-2025,No,Neutral,Not Discussed
OK8210,17-12-2025,No,Neutral,Not Discussed
OL0122,16-12-2025,No,Satisfied,90
FB4770,18-12-2025,No,Satisfied,Not Discussed
VD1016,10-12-2025,No,Satisfied,90
PU2063,17-12-2025,No,Satisfied,Not Discussed
FK5435,11-12-2025,No,Neutral,80
MB3281,02-01-2026,No,Neutral,Not Discussed
QK6849,12-12-2025,No,Neutral,Not Discussed
VO4642,09-12-2025,No,Satisfied,Not Discussed
JH3836,08-12-2025,No,Neutral,90
HE7047,12-12-2025,No,Satisfied,90
AX5713,08-12-2025,No,Satisfied,Not Discussed
ME1704,09-12-2025,No,Satisfied,80
TL6790,10-12-2025,No,Neutral,Not Discussed
TF9986,15-12-2025,No,Neutral,Not Discussed
OI6833,23-12-2025,No,Satisfied,90
DO5672,29-12-2025,No,Satisfied,Not Discussed
PK6510,03-12-2025,No,Satisfied,90
MH0039,30-11-2025,No,Neutral,80
YT1336,01-12-2025,No,Neutral,90
ZU6092,11-12-2025,No,Neutral,Not Discussed
HL2899,14-12-2025,No,Neutral,Not Discussed
PW3812,05-12-2025,No,Satisfied,Not Discussed
OJ3870,09-12-2025,No,Satisfied,Not Discussed
XF7479,22-12-2025,Unknown,Neutral,Not Discussed
TN5123,03-12-2025,No,Neutral,Not Discussed
TC6317,15-12-2025,No,Neutral,80
VF2889,10-12-2025,No,Satisfied,Not Discussed
UX4667,11-12-2025,No,Satisfied,Not Discussed
VP7916,21-12-2025,No,Neutral,Not Discussed
PS4532,09-12-2025,No,Neutral,Not Discussed
NJ8130,16-12-2025,No,Satisfied,Not Discussed
WL4087,04-12-2025,No,Satisfied,Not Discussed
EA3396,03-12-2025,No,Satisfied,Not Discussed
QD1803,10-12-2025,No,Neutral,Not Discussed
BL5165,04-12-2025,No,Neutral,Not Discussed
ME2554,13-12-2025,No,Satisfied,90
DP2060,29-11-2025,No,Satisfied,Not Discussed
OI4549,05-12-2025,No,Satisfied,Not Discussed
QL9277,26-11-2025,No,Satisfied,Not Discussed
ST7255,04-12-2025,No,Neutral,Not Discussed
QS8233,30-11-2025,No,Neutral,Not Discussed
EK7384,29-11-2025,No,Neutral,Not Discussed
EM1023,26-11-2025,No,Neutral,Not Discussed
RM8327,02-12-2025,No,Satisfied,Not Discussed
DX8007,18-12-2025,No,Satisfied,90
QM1676,10-12-2025,No,Neutral,Not Discussed
WE4193,27-11-2025,No,Satisfied,Not Discussed
ER9147,10-12-2025,No,Neutral,Not Discussed
HU7464,29-11-2025,No,Satisfied,Not Discussed
CF1449,09-12-2025,No,Neutral,70
KX5133,12-12-2025,No,Satisfied,90
JC6923,15-12-2025,No,Neutral,Not Discussed
PM8890,26-11-2025,No,Satisfied,90
PN0726,15-12-2025,No,Neutral,Not Discussed
ZJ0040,05-12-2025,No,Satisfied,Not Discussed
SP3040,12-12-2025,No,Satisfied,90
DS7948,13-12-2025,No,Satisfied,Not Discussed
SK1371,13-12-2025,No,Satisfied,90
WH1545,28-11-2025,No,Dissatisfied,20
CN2556,19-12-2025,No,Satisfied,90
QX4981,09-12-2025,No,Satisfied,Not Discussed
ZL7423,11-12-2025,No,Dissatisfied,60
AI5190,04-12-2025,No,Satisfied,80
WP3283,12-12-2025,No,Satisfied,Not Discussed
VK5331,05-12-2025,No,Satisfied,Not Discussed
IW6188,03-12-2025,No,Neutral,Not Discussed
VG5150,29-11-2025,No,Neutral,Not Discussed
TW6873,25-11-2025,Yes,Satisfied,90
QV4726,09-12-2025,No,Neutral,Not Discussed
VU4080,09-12-2025,No,Neutral,Not Discussed
ZB2836,08-12-2025,No,Dissatisfied,50
KZ9733,27-11-2025,No,Neutral,Not Discussed
NQ2991,29-11-2025,No,Satisfied,90
BK9309,30-11-2025,No,Neutral,80
BA7176,07-12-2025,No,Satisfied,90
AC6051,16-12-2025,No,Satisfied,90
MN7570,24-11-2025,No,Neutral,Not Discussed
TO8023,26-11-2025,No,Neutral,Not Discussed
MX2197,08-12-2025,No,Satisfied,100
OD8661,21-11-2025,No,Neutral,Not Discussed
DJ4879,25-11-2025,No,Satisfied,90
PT2675,25-11-2025,No,Not Discussed,Not Discussed
RN6217,17-12-2025,No,Neutral,80
DE0832,25-11-2025,No,Neutral,Not Discussed
RE5954,21-12-2025,No,Not Discussed,Not Discussed
RL5485,29-11-2025,No,Neutral,80
NO7181,08-12-2025,No,Satisfied,90
WQ6189,13-12-2025,No,Neutral,Not Discussed
IU8809,09-12-2025,No,Satisfied,80
SK7869,26-11-2025,No,Satisfied,Not Discussed
EL2440,05-12-2025,No,Neutral,Not Discussed
JN4234,21-11-2025,No,Satisfied,Not Discussed
NG5735,30-11-2025,No,Neutral,70
DK5355,29-11-2025,No,Neutral,Not Discussed
EO6090,18-12-2025,No,Satisfied,Not Discussed
TP7930,13-12-2025,No,Satisfied,Not Discussed
JT9910,18-12-2025,No,Dissatisfied,40
SY2449,14-12-2025,No,Not Discussed,Not Discussed
WB7115,29-11-2025,No,Neutral,50
YA8829,04-12-2025,No,Satisfied,Not Discussed
YB3125,29-11-2025,No,Satisfied,Not Discussed
NT1444,05-12-2025,No,Neutral,Not Discussed
NT4409,27-11-2025,No,Satisfied,Not Discussed
KE7748,10-12-2025,No,Neutral,80
DC0894,19-12-2025,No,Satisfied,Not Discussed
LI8004,24-11-2025,No,Neutral,Not Discussed
XL9130,19-11-2025,No,Satisfied,Not Discussed
NY9021,01-12-2025,No,Neutral,Not Discussed
SX7407,20-12-2025,No,Neutral,Not Discussed
FF7263,19-12-2025,No,Neutral,Not Discussed
QK2193,28-11-2025,No,Neutral,Not Discussed
FQ4220,05-12-2025,No,Satisfied,Not Discussed
MU6760,01-12-2025,No,Satisfied,Not Discussed
VI1279,03-12-2025,No,Neutral,Not Discussed
ZH6945,27-11-2025,No,Neutral,Not Discussed
RN1354,22-11-2025,No,Neutral,Not Discussed
DZ1639,12-12-2025,No,Neutral,Not Discussed
HR9503,02-12-2025,No,Satisfied,Not Discussed
OF4807,30-11-2025,No,Satisfied,Not Discussed
GB2726,11-12-2025,No,Neutral,Not Discussed
EE2891,29-11-2025,No,Neutral,Not Discussed
LM3439,29-11-2025,No,Satisfied,Not Discussed
WM4364,09-12-2025,No,Neutral,Not Discussed
WS5543,25-11-2025,No,Satisfied,Not Discussed
FO5445,14-12-2025,No,Satisfied,Not Discussed
XI4788,07-12-2025,No,Neutral,Not Discussed
PN9206,20-11-2025,Yes,Neutral,80
YA8968,21-11-2025,No,Neutral,Not Discussed
JF8668,20-11-2025,No,Not Discussed,Not Discussed
OH9079,01-12-2025,No,Satisfied,Not Discussed
WR1261,09-12-2025,No,Satisfied,Not Discussed
PJ6398,19-11-2025,No,Not Discussed,Not Discussed
QU9986,12-12-2025,No,Satisfied,90
JB1513,23-11-2025,No,Satisfied,Not Discussed
QO7907,16-12-2025,No,Satisfied,90
QA1335,18-11-2025,No,Satisfied,90
YF2874,21-11-2025,No,Satisfied,Not Discussed
WM1018,09-12-2025,No,Neutral,Not Discussed
NG9115,16-12-2025,No,Neutral,80
IR1427,04-12-2025,No,Neutral,Not Discussed
EO1925,13-12-2025,No,Neutral,80
GU1405,24-11-2025,No,Satisfied,Not Discussed
KB3817,02-12-2025,No,Not Discussed,Not Discussed
KG1048,19-11-2025,No,Satisfied,90
CL7758,27-11-2025,No,Satisfied,Not Discussed
UZ5087,01-12-2025,No,Not Discussed,Not Discussed
FS4667,27-11-2025,No,Neutral,Not Discussed
IK6551,16-11-2025,No,Neutral,Not Discussed
PK6224,17-11-2025,No,Satisfied,Not Discussed
GU6109,08-12-2025,No,Neutral,Not Discussed
JW9947,26-11-2025,Yes,Dissatisfied,40
WC7569,19-11-2025,No,Not Discussed,Not Discussed
IO4970,04-12-2025,No,Neutral,80
JS0839,15-12-2025,No,Neutral,Not Discussed
MC0327,20-11-2025,No,Satisfied,Not Discussed
HP8787,16-11-2025,No,Neutral,Not Discussed
MX3276,21-11-2025,Yes,Satisfied,Not Discussed
MU8897,29-11-2025,No,Neutral,Not Discussed
ED2375,14-12-2025,No,Neutral,Not Discussed
FE6871,26-11-2025,No,Dissatisfied,40
IJ5422,17-11-2025,No,Neutral,Not Discussed
FT8673,21-11-2025,No,Satisfied,90
ID6487,25-11-2025,No,Satisfied,Not Discussed
JE1033,06-12-2025,No,Neutral,Not Discussed
SA8086,11-12-2025,No,Satisfied,Not Discussed
IT7852,22-11-2025,No,Satisfied,80
RV6722,16-11-2025,No,Neutral,Not Discussed
GY4057,13-12-2025,No,Neutral,Not Discussed
QA0618,27-11-2025,No,Neutral,Not Discussed
BK0553,23-11-2025,No,Satisfied,90
YC6669,02-12-2025,No,Neutral,Not Discussed
PM4601,26-11-2025,No,Satisfied,90
GK6663,26-11-2025,No,Satisfied,Not Discussed
EW1663,30-11-2025,No,Neutral,Not Discussed
RP8586,22-11-2025,No,Neutral,Not Discussed
JY7998,25-11-2025,No,Neutral,Not Discussed
RW3062,28-11-2025,No,Satisfied,90
BZ8980,23-11-2025,No,Satisfied,90
RI2388,17-11-2025,No,Satisfied,80
BZ2181,10-12-2025,No,Satisfied,90
GY7039,18-11-2025,No,Satisfied,Not Discussed
YC8341,14-11-2025,No,Satisfied,85
GY9680,23-11-2025,No,Satisfied,80
FF5723,12-12-2025,No,Satisfied,100
BF1378,06-12-2025,No,Neutral,Not Discussed
ME1003,23-11-2025,No,Neutral,Not Discussed
OX7606,15-11-2025,No,Satisfied,85
KI0037,11-11-2025,No,Satisfied,Not Discussed
MW4322,29-11-2025,No,Satisfied,90
