Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AA5764,Won,2025-07-22,2025-07-02,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AA6798,Won,2024-12-02,2024-11-05,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AA7026,Won,2025-10-07,2025-09-12,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,6.0,2025.0,1
AA7062,Churned,2025-05-08,2025-04-22,Yes,No,No,No,No,No,No,No,No,Yes,Desired to Cancel,No,3.0,2025.0,1
AA7637,Won,2025-02-04,2025-01-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AA8596,Won,2025-07-17,2025-06-20,No,No,No,No,No,No,No,Yes,No,Yes,Not Discussed,No,1.0,2025.0,1
AA8646,Won,2024-10-17,2024-09-25,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AA9926,Won,2025-09-29,2025-09-08,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2025.0,1
AB0902,Won,2025-04-19,2025-03-24,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AB1212,Won,2025-09-11,2025-08-18,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AB1960,Won,2025-04-29,2025-04-03,No,No,No,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AB2451,Won,2024-09-29,2024-09-04,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AB3251,Won,2024-11-26,2024-11-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2024.0,1
AB3560,Won,2024-04-30,2024-04-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AB3560,Won,2025-04-30,2025-04-03,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AB4616,Churned,2026-01-09,2025-12-15,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AB5038,Won,2025-05-31,2025-05-06,No,No,No,No,No,No,No,No,No,Yes,Renewed,Yes,3.0,2025.0,1
AB5679,Won,2025-02-25,2025-01-30,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AB7075,Churned,2024-05-01,2024-04-04,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,2.0,2024.0,1
AB7963,Won,2025-01-11,2024-12-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AB7963,Won,2026-01-11,2025-12-17,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AB8043,Churned,2025-05-03,2025-04-07,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,Yes,4.0,2025.0,1
AB8719,Won,2026-02-03,2026-01-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2026.0,1
AB8904,Won,2025-07-21,2025-06-24,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,2.0,2025.0,1
AB9496,Won,2025-09-19,2025-08-05,No,No,No,Yes,No,No,No,No,No,No,Renewed,Yes,1.0,2025.0,1
AB9837,Won,2025-02-09,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC0502,Won,2025-09-20,2025-08-26,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC1742,Won,2025-02-25,2025-01-29,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC1804,Won,2025-11-10,2025-10-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,7.0,2025.0,1
AC1996,Won,2024-08-30,2024-08-01,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,4.0,2024.0,1
AC2811,Won,2024-10-22,2024-10-01,No,No,Yes,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2024.0,1
AC2986,Won,2025-04-20,2025-03-26,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC3946,Won,2025-12-08,2025-11-11,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Desired to Cancel,Yes,2.0,2025.0,1
AC4408,Won,2025-10-04,2025-09-08,No,No,Yes,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC4484,Won,2025-09-05,2025-08-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AC5010,Won,2026-03-03,2026-02-06,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2026.0,1
AC5334,Won,2025-02-18,2025-01-07,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AC5375,Won,2024-07-30,2024-07-02,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC5613,Won,2024-12-12,2024-11-15,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AC6051,Won,2025-12-16,2025-11-12,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,4.0,2025.0,1
AC6096,Won,2025-01-16,2024-12-20,No,No,No,Yes,No,No,No,Yes,No,Yes,Renewed,No,1.0,2024.0,1
AC7436,Won,2024-06-02,2024-05-09,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC7497,Won,2025-03-20,2025-02-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC8349,Won,2024-12-10,2024-11-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC8349,Won,2025-12-10,2025-11-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC8504,Won,2024-06-20,2024-06-05,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Desired to Cancel,No,3.0,2024.0,1
AC9302,Churned,2025-06-06,2025-05-12,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC9742,Won,2025-01-07,2024-12-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AC9742,Won,2026-01-07,2025-12-11,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD0114,Won,2025-03-21,2025-03-07,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AD0243,Won,2026-01-09,2025-12-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2025.0,1
AD0668,Won,2025-05-09,2025-04-25,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,3.0,2025.0,1
AD0761,Won,2025-04-19,2025-03-26,Yes,unknown,unknown,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AD1072,Won,2024-11-29,2024-11-04,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,1.0,2024.0,1
AD1356,Won,2024-05-03,2024-04-08,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AD1655,Won,2025-04-27,2025-03-31,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AD1657,Won,2026-02-18,2026-01-30,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,164.0,2026.0,1
AD1681,Won,2025-05-17,2025-04-22,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD1830,Won,2024-12-05,2024-11-12,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AD2140,Won,2024-06-06,2024-05-10,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,4.0,2024.0,1
AD2140,Won,2025-06-06,2025-05-15,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,5.0,2025.0,1
AD2220,Won,2025-09-26,2025-09-01,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AD3239,Won,2025-03-21,2025-03-07,No,unknown,unknown,Yes,No,No,No,No,No,No,Desired to Cancel,No,17.0,2025.0,1
AD3246,Won,2025-02-06,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AD3632,Won,2024-10-25,2024-10-03,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AD3632,Won,2025-10-25,2025-10-10,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,6.0,2025.0,1
AD3672,Won,2025-01-12,2024-12-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AD3672,Won,2026-01-12,2025-12-16,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Renewed,Yes,2.0,2025.0,1
AD3976,Won,2025-06-24,2025-05-28,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD4863,Won,2024-10-09,2024-09-24,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AD5124,Churned,2025-11-09,2025-10-13,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,3.0,2025.0,1
AD7151,Won,2025-06-23,2025-05-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AD7382,Won,2025-03-24,2025-02-27,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AD7727,Won,2025-06-04,2025-05-12,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,8.0,2025.0,1
AD8539,Churned,2026-02-06,2026-01-12,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Desired to Cancel,No,1.0,2026.0,1
AD8939,Won,2025-01-06,2024-12-10,No,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,1.0,2024.0,1
AD9098,Won,2025-11-07,2025-10-14,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD9995,Won,2025-03-28,2025-03-05,No,unknown,unknown,Yes,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE0118,Won,2024-09-19,2024-08-23,Yes,No,Yes,No,No,No,No,No,No,No,Desired to Cancel,No,8.0,2024.0,1
AE0118,Churned,2025-09-19,2025-09-05,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,13.0,2025.0,1
AE0497,Won,2025-10-30,2025-09-24,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE0975,Won,2025-12-03,2025-11-06,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE1618,Won,2025-02-07,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE2724,Won,2025-04-15,2025-03-20,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE2866,Won,2025-02-10,2025-01-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE4321,Won,2025-10-11,2025-09-12,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE4702,Won,2025-02-28,2025-02-14,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE4711,Won,2025-12-11,2025-11-19,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AE4799,Won,2024-06-23,2024-06-04,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AE5370,Won,2025-04-11,2025-03-24,No,unknown,unknown,Yes,Yes,No,No,No,No,Yes,Desired to Cancel,No,3.0,2025.0,1
AE5387,Won,2025-03-31,2025-03-10,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE5993,Won,2024-11-29,2024-11-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AE5993,Won,2025-11-29,2025-11-13,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AE6233,Won,2024-11-10,2024-10-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AE6233,Won,2025-11-10,2025-10-14,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AE6720,Won,2025-06-19,2025-05-13,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AE6844,Won,2025-02-26,2025-01-30,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AE7407,Churned,2025-04-04,2025-03-21,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,9.0,2025.0,1
AE7571,Won,2024-11-25,2024-10-15,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AE7667,Churned,2025-03-22,2025-02-24,Yes,No,No,No,No,No,No,Yes,No,Yes,Desired to Cancel,No,3.0,2025.0,1
AE7735,Won,2024-08-20,2024-08-01,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,3.0,2024.0,1
AE8061,Won,2025-07-16,2025-06-19,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AE8207,Won,2025-01-13,2024-12-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AE8961,Churned,2025-11-16,2025-10-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,12.0,2025.0,1
AE9025,Churned,2025-03-26,2025-03-06,Yes,unknown,unknown,No,No,No,No,No,No,No,Desired to Cancel,No,4.0,2025.0,1
AE9247,Won,2025-06-25,2025-05-29,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE9291,Won,2024-06-12,2024-05-16,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2024.0,1
AE9335,Won,2024-12-22,2024-11-25,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AE9335,Won,2025-12-22,2025-11-25,No,No,No,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AF0296,Won,2024-04-30,2024-04-05,No,No,Yes,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AF0296,Won,2025-04-30,2025-04-04,No,No,Yes,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AF1667,Won,2024-11-10,2024-10-15,No,No,No,unknown,unknown,unknown,No,No,No,No,Renewed,Yes,1.0,2024.0,1
AF1969,Won,2024-09-18,2024-09-02,No,No,Yes,Yes,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AF1971,Won,2025-12-21,2025-11-10,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AF2042,Won,2026-01-18,2025-12-04,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AF2686,Won,2024-05-15,2024-05-01,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AF3164,Won,2024-12-03,2024-11-06,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AF3164,Won,2025-12-03,2025-11-07,No,No,No,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AF3809,Won,2024-05-23,2024-05-09,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,1.0,2024.0,1
AF4368,Won,2025-12-21,2025-11-10,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AF4598,Won,2024-05-24,2024-05-10,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AF5831,Won,2025-12-06,2025-11-10,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AF5853,Won,2024-09-21,2024-08-28,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AF5853,Won,2025-09-21,2025-08-26,No,No,No,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AF7087,Won,2025-05-26,2025-04-29,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AF7143,Churned,2025-03-28,2025-03-14,No,unknown,unknown,No,No,No,No,Yes,No,Yes,Not Discussed,No,5.0,2025.0,1
AF7227,Won,2025-12-16,2025-12-02,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AF7284,Won,2025-04-20,2025-04-03,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2025.0,1
AF8028,Won,2024-11-18,2024-10-22,No,No,No,No,No,No,No,No,No,No,Renewed,Yes,1.0,2024.0,1
AF8183,Won,2025-02-12,2025-01-27,unknown,No,No,Yes,No,No,No,No,No,No,Renewed,Yes,3.0,2025.0,1
AF8693,Won,2024-11-03,2024-10-15,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AF8693,Won,2025-11-03,2025-10-07,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,6.0,2025.0,1
AF9548,Won,2024-06-12,2024-05-16,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AF9548,Won,2025-06-12,2025-05-16,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AG0927,Won,2025-01-09,2024-12-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG0927,Won,2026-01-09,2025-12-15,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AG1011,Won,2026-01-05,2025-12-09,No,No,No,No,Yes,No,No,No,No,Yes,Desired to Cancel,No,2.0,2025.0,1
AG1723,Won,2025-06-20,2025-05-28,unknown,No,Yes,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AG2757,Won,2024-06-14,2024-05-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG2870,Won,2025-02-15,2025-01-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AG3828,Won,2024-06-28,2024-06-07,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,3.0,2024.0,1
AG4578,Won,2024-05-22,2024-04-25,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2024.0,1
AG4897,Won,2024-10-11,2024-09-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG4971,Won,2025-03-04,2025-02-11,No,No,No,No,No,Yes,No,No,No,Yes,Renewed,Yes,1.0,2025.0,1
AG4971,Won,2026-03-04,2026-02-09,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2026.0,1
AG4986,Won,2025-09-11,2025-08-18,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AG5175,Won,2024-07-27,2024-07-02,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,2.0,2024.0,1
AG5519,Won,2024-10-04,2024-09-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG5729,Won,2024-08-10,2024-07-15,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AG5729,Won,2025-08-10,2025-07-16,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AG5956,Won,2024-10-14,2024-09-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG6811,Won,2025-02-06,2025-01-16,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AG7545,Won,2025-08-27,2025-07-31,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AG7687,Won,2024-05-03,2024-04-08,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG7687,Won,2025-05-03,2025-04-07,No,No,No,No,No,No,No,No,No,No,Renewed,No,10.0,2025.0,1
AG8127,Won,2024-04-25,2024-04-03,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG8127,Won,2025-04-25,2025-03-31,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AG8323,Won,2025-02-06,2025-01-13,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AG8873,Won,2025-04-09,2025-03-13,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AG9655,Won,2024-09-01,2024-08-05,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AG9655,Won,2025-09-01,2025-08-05,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2025.0,1
AG9946,Won,2026-03-05,2026-01-19,No,No,No,No,No,No,No,No,No,No,Renewed,No,3.0,2026.0,1
AH0475,Won,2024-08-30,2024-08-07,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,4.0,2024.0,1
AH0530,Won,2024-10-31,2024-10-04,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2024.0,1
AH0530,Won,2025-10-31,2025-10-07,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AH0535,Won,2024-10-15,2024-09-18,No,No,Yes,No,No,No,No,No,No,No,Desired to Cancel,No,2.0,2024.0,1
AH0860,Won,2025-05-25,2025-04-28,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AH1089,Won,2024-09-22,2024-08-12,No,No,Yes,No,No,No,No,No,No,No,Renewed,Yes,5.0,2024.0,1
AH1499,Won,2025-03-14,2025-02-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AH1806,Won,2024-09-27,2024-09-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AH2284,Won,2024-05-22,2024-04-24,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AH2523,Won,2025-11-25,2025-10-13,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AH2822,Churned,2025-08-08,2025-07-25,Yes,No,Yes,No,No,No,No,No,No,No,Desired to Cancel,No,4.0,2025.0,1
AH3239,Won,2024-07-19,2024-07-05,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AH3239,Won,2025-07-19,2025-07-04,No,No,No,No,No,No,No,No,No,No,Renewed,No,6.0,2025.0,1
AH3544,Won,2025-02-16,2025-01-20,unknown,No,Yes,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AH3842,Churned,2024-06-15,2024-05-20,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,1.0,2024.0,1
AH4514,Won,2025-04-14,2025-03-27,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,4.0,2025.0,1
AH5460,Won,2025-12-06,2025-11-10,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AH5736,Won,2025-01-24,2025-01-07,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AH5736,Won,2026-01-24,2026-01-06,No,No,No,No,unknown,unknown,No,No,No,No,Not Discussed,No,2.0,2026.0,1
AH6347,Won,2024-09-21,2024-08-09,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2024.0,1
AH6347,Won,2025-09-21,2025-09-01,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,7.0,2025.0,1
AH7064,Won,2024-12-13,2024-11-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AH7064,Won,2025-12-13,2025-11-18,No,No,No,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AH7303,Won,2025-03-30,2025-03-07,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,1.0,2025.0,1
AH9874,Won,2024-06-14,2024-05-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AH9874,Won,2025-06-14,2025-05-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AI0111,Won,2025-12-23,2025-12-03,unknown,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AI0168,Won,2025-04-19,2025-03-24,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AI1458,Won,2024-10-25,2024-09-30,No,No,No,No,No,No,No,No,No,No,Renewed,No,3.0,2024.0,1
AI1458,Won,2025-10-25,2025-09-30,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,4.0,2025.0,1
AI2012,Won,2025-05-11,2025-04-14,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AI2605,Won,2025-11-12,2025-10-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AI3756,Won,2025-05-07,2025-04-23,No,No,Yes,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AI4079,Won,2024-12-08,2024-11-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AI4079,Won,2025-12-08,2025-11-11,No,No,No,No,No,No,No,No,No,No,Renewed,No,9.0,2025.0,1
AI4931,Won,2025-11-15,2025-10-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,4.0,2025.0,1
AI5084,Won,2025-05-16,2025-05-02,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,14.0,2025.0,1
