Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors
AL0285,2025-03-05,Won,No,No,Yes
AL0530,2024-06-21,Won,No,No,No
AL1296,2025-03-23,Won,No,No,No
AL1719,2025-02-12,Won,No,No,No
AL1872,2025-09-11,Won,No,No,No
AL3321,2025-05-28,Won,No,No,No
AL3885,2024-09-12,Won,No,No,No
AL4189,2024-11-18,Won,No,No,No
AL4189,2025-11-18,Won,No,No,No
AL5270,2024-06-21,Won,No,No,No
AL5672,2024-06-09,Won,No,No,No
AL6021,2025-04-16,Won,No,unknown,No
AL6603,2024-06-12,Won,No,No,Yes
AL6632,2025-10-28,Won,No,No,No
AL6748,2024-10-31,Won,No,Yes,No
AL7110,2024-12-01,Won,No,No,No
AL7132,2025-05-31,Won,No,No,No
AL7216,2024-08-18,Won,No,No,No
AL7216,2025-08-18,Won,No,No,No
AL7303,2025-10-30,Won,No,No,No
AL8544,2024-10-17,Won,No,unknown,No
AM0080,2024-04-26,Won,No,No,No
AM0425,2025-10-17,Won,No,No,No
AM0890,2024-12-22,Won,No,No,No
AM1124,2026-01-29,Won,No,No,No
AM1242,2026-01-23,Churned,No,unknown,Yes
AM1279,2025-06-14,Won,No,No,Yes
AM2118,2025-07-16,Won,No,No,No
AM2413,2026-01-15,Churned,No,Yes,Yes
AM2713,2025-01-14,Won,No,Yes,No
AM3222,2024-12-21,Won,No,Yes,Yes
AM3529,2025-04-08,Won,No,unknown,No
AM4431,2024-08-01,Won,No,No,No
AM4431,2025-08-01,Won,No,No,No
AM4650,2025-03-07,Won,No,No,No
AM4673,2025-03-11,Won,No,No,No
AM4673,2026-03-11,Won,No,No,No
AM6004,2025-03-11,Won,No,No,No
AM6401,2024-10-09,Won,No,Yes,No
AM6401,2025-10-09,Won,No,No,No
AM6725,2024-07-01,Won,No,No,No
AM6725,2025-07-01,Won,No,No,No
AM7128,2024-09-30,Won,No,Yes,No
AM7128,2025-09-30,Churned,No,No,No
AM7393,2025-03-25,Won,No,unknown,No
AM7770,2026-02-20,Won,No,No,No
AM9376,2024-07-09,Won,No,Yes,No
AM9376,2025-07-09,Churned,Yes,Yes,No
AM9542,2025-04-17,Won,No,unknown,No
AM9847,2024-11-04,Won,No,No,No
AN0865,2026-01-11,Won,No,No,No
AN1961,2025-10-23,Won,No,No,No
AN4815,2026-01-22,Won,No,No,No
AN6195,2025-09-13,Won,No,No,No
AN6238,2024-10-20,Won,No,No,No
AN6469,2024-11-01,Won,No,No,No
AN6469,2025-11-01,Won,No,No,No
AN6731,2024-04-26,Won,No,No,No
AN8055,2024-07-15,Won,No,Yes,No
AN8859,2025-11-23,Won,No,No,No
AN9320,2025-01-31,Won,No,No,No
AN9432,2025-09-12,Won,No,No,No
AN9720,2025-05-08,Won,No,No,No
AO0653,2025-01-10,Churned,Yes,Yes,No
AO1444,2025-02-15,Won,No,No,No
AO1444,2026-02-15,Won,No,Yes,Yes
AO1473,2025-11-14,Won,No,No,No
AO1602,2024-04-27,Won,No,No,No
AO1983,2025-11-05,Won,No,No,No
AO2019,2024-06-20,Won,No,No,No
AO2205,2025-01-31,Won,No,No,No
AO2205,2026-01-31,Won,No,No,No
AO2742,2025-08-12,Won,No,No,No
AO2790,2025-04-23,Churned,Yes,unknown,Yes
AO3135,2025-08-28,Won,No,No,No
AO3498,2026-01-29,Won,No,No,No
AO3763,2026-02-10,Churned,No,Yes,Yes
AO3876,2024-10-27,Won,No,No,No
AO4242,2024-09-07,Won,No,No,No
AO4242,2025-09-07,Won,No,No,No
AO5610,2025-11-02,Won,Yes,Yes,No
AO5949,2024-09-21,Won,No,No,No
AO7853,2024-06-08,Won,No,No,No
AO8442,2024-06-11,Won,No,No,No
AO9683,2025-03-20,Won,No,No,No
AO9996,2025-09-03,Churned,No,Yes,No
AP0487,2025-10-02,Won,No,No,No
AP0809,2025-02-13,Won,No,No,No
AP0809,2026-02-13,Won,No,No,No
AP2580,2024-07-12,Won,No,Yes,Yes
AP2580,2025-07-12,Won,No,Yes,No
AP3385,2025-10-24,Churned,Yes,No,No
AP3412,2026-01-13,Won,No,No,No
AP3500,2024-11-21,Won,No,No,No
AP4081,2025-08-02,Won,No,No,Yes
AP4087,2024-08-25,Won,No,Yes,Yes
AP4283,2025-03-03,Won,No,No,No
AP4555,2025-12-11,Won,No,No,No
AP5106,2024-11-09,Won,No,unknown,No
AP5453,2025-01-27,Won,No,No,No
AP5453,2026-01-27,Won,No,No,No
AP6319,2026-01-03,Churned,Yes,Yes,Yes
AP7108,2024-12-01,Won,No,No,No
AP7108,2025-12-01,Won,No,No,No
AP8779,2024-05-28,Won,No,No,No
AP9343,2025-01-08,Won,No,No,No
AQ0587,2024-10-07,Won,No,No,No
AQ1524,2025-01-11,Won,No,No,No
AQ2402,2024-09-29,Won,No,No,No
AQ2650,2025-07-16,Won,No,Yes,No
AQ2878,2024-08-17,Won,Yes,Yes,No
AQ2878,2025-08-17,Won,No,No,No
AQ4033,2024-09-20,Won,No,No,No
AQ5167,2024-11-02,Won,No,No,No
AQ5710,2026-01-18,Won,No,No,No
AQ5777,2024-11-02,Won,No,Yes,No
AQ6076,2025-12-06,Won,No,No,No
AQ6918,2025-12-19,Won,No,No,No
AQ7306,2024-05-10,Won,No,No,No
AQ7306,2025-05-10,Won,No,No,No
AQ7336,2025-12-12,Won,No,No,No
AQ7598,2024-11-15,Won,No,No,No
AQ7598,2025-11-15,Won,No,No,No
AQ8312,2025-07-13,Won,No,Yes,No
AQ8455,2024-06-21,Won,No,Yes,No
AQ8587,2024-10-27,Won,No,Yes,No
AQ8587,2025-10-27,Won,No,No,No
AQ9112,2024-06-22,Won,No,Yes,Yes
AQ9479,2024-05-02,Won,No,No,No
AQ9479,2025-05-02,Won,No,No,No
AQ9677,2025-06-06,Won,No,No,No
AR0355,2024-06-23,Churned,unknown,No,No
AR0826,2024-12-06,Won,No,Yes,No
AR2097,2024-11-09,Won,No,No,No
AR2179,2025-04-23,Won,No,No,No
AR2737,2025-03-05,Won,No,No,No
AR3544,2025-06-23,Won,No,No,No
AR4712,2025-03-04,Won,No,No,No
AR5052,2025-11-26,Won,No,Yes,No
AR5610,2024-07-28,Churned,No,No,No
AR6213,2026-02-21,Won,No,No,Yes
AR6743,2024-07-19,Won,No,No,No
AR6743,2025-07-19,Won,No,Yes,No
AR7127,2025-01-14,Won,No,Yes,No
AR7127,2026-01-14,Won,No,No,No
AR8007,2024-05-23,Won,No,No,No
AR8007,2025-05-23,Won,No,No,No
AR9914,2024-11-22,Won,No,Yes,No
AR9987,2024-09-28,Won,No,No,No
AS0094,2025-03-28,Won,No,unknown,No
AS0750,2025-06-24,Won,No,Yes,No
AS3085,2025-02-08,Won,No,No,No
AS3085,2026-02-08,Won,No,No,No
AS3430,2024-09-13,Churned,No,No,No
AS4552,2026-01-21,Won,No,unknown,No
AS5021,2025-01-23,Won,No,Yes,No
AS5144,2024-05-03,Won,No,No,No
AS5471,2024-08-21,Won,No,No,No
AS5565,2024-06-07,Won,No,No,No
AS6913,2025-10-28,Won,No,No,No
AS7051,2025-09-25,Won,No,No,No
AS7199,2024-12-18,Won,No,No,No
AS7880,2024-06-30,Won,No,No,No
AS7997,2024-09-06,Won,No,No,No
AS8319,2024-09-12,Won,No,No,No
AS9597,2025-12-07,Won,No,Yes,No
AS9939,2025-07-19,Won,Yes,Yes,No
AT0197,2024-11-06,Won,No,No,No
AT0197,2025-11-06,Won,No,No,No
AT0314,2024-08-09,Won,No,No,No
AT0390,2025-10-29,Won,No,No,No
AT0858,2025-06-20,Won,No,No,Yes
AT2192,2024-08-08,Won,No,No,No
AT2192,2025-08-08,Won,No,No,No
AT2436,2024-10-27,Churned,No,No,No
AT2975,2024-12-13,Won,No,No,No
AT3215,2025-04-26,Won,No,No,No
AT3336,2025-07-22,Won,No,No,Yes
AT3352,2025-04-05,Won,No,unknown,No
AT3979,2024-12-20,Won,No,No,No
AT4099,2025-08-27,Won,No,No,No
AT4605,2025-11-28,Won,No,No,No
AT5125,2024-09-27,Won,No,No,No
AT5514,2026-03-10,Won,No,No,No
AT5842,2025-05-15,Won,No,unknown,No
AT6160,2024-06-29,Churned,No,No,No
AT7379,2026-02-23,Won,No,No,No
AT7529,2025-10-15,Won,Yes,Yes,No
AT7901,2025-02-17,Won,No,Yes,No
AT9129,2025-10-01,Won,No,No,No
AU0066,2026-02-17,Won,No,No,No
AU0110,2025-05-12,Won,No,No,No
AU0273,2025-01-10,Won,No,No,No
AU0893,2024-10-14,Won,No,No,No
AU1317,2024-10-10,Won,No,unknown,No
AU1353,2025-02-10,Won,No,Yes,Yes
AU1860,2025-09-16,Churned,No,No,Yes
AU2193,2024-10-21,Churned,No,Yes,No
AU2427,2024-06-28,Won,No,Yes,No
AU4246,2025-03-08,Churned,Yes,No,No
AU5308,2024-05-30,Churned,Yes,No,No
AU5650,2025-03-01,Won,No,Yes,No
AU7127,2025-08-07,Won,No,No,No
AU7930,2025-04-18,Won,No,unknown,No
AU8094,2025-04-28,Won,No,No,Yes
AU8259,2024-11-24,Churned,Yes,Yes,No
AU9471,2024-10-22,Won,No,unknown,No
AU9761,2025-03-16,Won,No,No,No
AU9792,2024-11-30,Won,No,No,No
AU9881,2024-07-08,Won,No,No,No
AV1072,2025-03-31,Won,No,No,No
AV1895,2025-01-26,Won,unknown,Yes,No
AV3194,2024-05-21,Won,No,No,No
AV3280,2025-01-30,Won,No,No,No
AV4389,2025-02-21,Churned,No,Yes,No
AV5354,2025-01-04,Won,No,No,Yes
AV6360,2024-07-10,Won,No,Yes,No
AV6360,2025-07-10,Won,No,No,No
AV6630,2026-01-18,Churned,No,No,No
AV6949,2024-10-16,Churned,Yes,No,No
AV7203,2025-04-20,Won,No,unknown,No
AV7847,2025-02-28,Won,No,No,Yes
AV8034,2026-02-01,Won,No,No,No
AV8198,2025-07-27,Won,No,Yes,Yes
AV8217,2025-03-18,Won,No,Yes,No
AV8330,2024-10-26,Won,No,No,No
AV8446,2025-02-12,Won,No,No,No
AV8504,2025-10-24,Won,No,No,No
AV8515,2024-05-05,Won,No,No,No
AV8515,2025-05-05,Won,No,No,No
AV8762,2024-11-11,Won,No,No,No
AV9662,2025-03-11,Won,No,No,No
AW0256,2024-11-02,Won,No,No,No
AW0256,2025-11-02,Won,No,No,No
AW0515,2024-08-02,Won,No,No,Yes
AW0963,2025-07-03,Churned,Yes,Yes,Yes
AW1080,2025-10-13,Won,No,Yes,No
AW1115,2026-01-07,Churned,Yes,Yes,No
AW1667,2024-07-30,Won,No,No,No
AW1667,2025-07-30,Won,No,No,No
AW1783,2024-10-01,Won,No,No,No
AW2031,2025-10-27,Churned,No,Yes,Yes
AW3140,2026-01-08,Won,No,No,No
AW3444,2025-03-07,Won,No,No,No
AW3688,2025-01-15,Won,No,No,No
AW3688,2026-01-15,Won,No,No,No
AW3858,2025-09-06,Won,No,No,No
AW4054,2025-05-23,Won,No,No,No
AW4391,2024-07-08,Won,No,No,No
AW5138,2024-10-18,Won,Yes,No,No
AW5138,2025-10-18,Churned,Yes,Yes,Yes
AW5309,2025-10-23,Churned,No,No,No
AW5469,2025-04-06,Won,No,unknown,No
AW5771,2025-06-19,Won,No,No,No
AW5874,2025-01-18,Churned,No,No,No
AW6210,2025-02-17,Won,No,No,No
AW6793,2025-07-13,Won,No,No,No
AW7455,2024-11-06,Won,No,No,No
AW7455,2025-11-06,Won,No,No,No
AW8836,2024-06-22,Churned,No,Yes,No
AW9294,2025-03-09,Won,No,Yes,Yes
AW9294,2026-03-09,Won,No,Yes,No
AW9794,2024-06-02,Won,No,Yes,No
AX0181,2025-09-27,Won,No,No,No
AX0523,2024-11-03,Won,No,No,No
AX0523,2025-11-03,Won,No,Yes,No
AX0642,2025-06-06,Won,No,No,No
AX0777,2024-12-06,Won,No,Yes,No
AX1095,2025-09-28,Won,No,No,No
AX1161,2025-09-20,Churned,No,No,Yes
AX1535,2024-07-18,Won,No,No,No
AX1535,2025-07-18,Won,No,No,No
AX1585,2024-06-29,Won,No,No,No
AX1712,2024-10-24,Won,No,No,No
AX1712,2025-10-24,Won,No,No,No
AX3763,2025-11-20,Won,No,No,No
AX4200,2024-05-08,Won,No,No,No
AX5200,2024-05-28,Won,No,Yes,No
AX5713,2024-12-08,Won,No,Yes,No
AX6732,2024-11-20,Won,No,No,No
AX6732,2025-11-20,Churned,No,No,No
AX7068,2025-01-25,Churned,No,No,No
AX7432,2024-10-16,Won,No,Yes,Yes
AX8032,2026-01-27,Won,No,No,No
AX8111,2024-08-23,Won,No,No,Yes
AX8371,2025-10-07,Won,No,Yes,No
AX8636,2025-01-11,Won,No,No,No
AX8636,2026-01-11,Churned,No,No,No
AX9087,2025-04-24,Won,No,Yes,No
AX9129,2025-11-23,Churned,No,No,Yes
AX9288,2024-11-15,Won,No,No,No
AX9673,2024-12-14,Won,No,No,No
AX9827,2025-02-21,Won,No,No,No
AY0788,2024-07-26,Won,No,No,No
AY0788,2025-07-26,Won,No,No,No
AY1756,2025-07-03,Won,No,No,No
AY1850,2024-06-22,Won,No,No,No
AY3176,2025-03-10,Churned,No,No,Yes
AY3268,2025-05-07,Won,No,No,No
AY3290,2025-06-22,Won,No,No,No
AY3925,2024-11-14,Won,No,Yes,No
AY3925,2025-11-14,Won,No,Yes,No
AY4240,2024-07-13,Won,No,Yes,No
AY4240,2025-07-13,Won,No,No,Yes
AY4241,2024-07-14,Won,No,No,No
AY4241,2025-07-14,Won,No,No,No
AY4356,2024-08-22,Won,No,No,No
AY4479,2024-06-24,Won,No,No,No
AY4479,2025-06-24,Won,No,No,No
AY4718,2024-12-15,Churned,No,No,No
AY4780,2024-07-28,Won,No,No,No
AY5436,2025-10-01,Won,No,No,No
AY5807,2024-07-12,Won,No,Yes,No
AY5839,2024-07-24,Churned,No,No,No
AY6542,2025-09-05,Won,No,No,No
AY6821,2024-11-29,Won,No,No,No
AY6821,2025-11-29,Won,No,No,No
AY7039,2025-08-29,Won,No,No,No
AY7143,2025-08-02,Won,No,Yes,No
AY7799,2024-06-07,Won,No,No,No
AY8380,2025-03-02,Won,Yes,Yes,Yes
AY9015,2025-10-17,Churned,No,No,No
AY9292,2024-04-28,Won,No,No,No
AY9292,2025-04-28,Won,No,No,No
AY9936,2025-04-20,Churned,No,No,No
AY9976,2024-10-20,Won,No,No,No
AY9976,2025-10-20,Churned,No,No,No
AZ0334,2025-01-27,Won,No,No,No
AZ0334,2026-01-27,Won,No,No,No
AZ0826,2025-04-01,Won,No,No,No
AZ1194,2025-06-20,Won,No,Yes,No
AZ1448,2025-08-26,Won,No,No,No
AZ1449,2024-06-06,Won,No,No,No
AZ1888,2024-06-24,Won,No,No,No
AZ1888,2025-06-24,Won,No,No,No
AZ2366,2024-06-28,Won,No,No,No
AZ2366,2025-06-28,Won,No,No,No
AZ2668,2025-02-15,Won,No,No,No
AZ2765,2024-10-20,Won,No,Yes,No
AZ2862,2024-08-09,Won,No,No,No
AZ2944,2024-10-26,Won,No,No,Yes
AZ2944,2025-10-26,Won,No,No,No
AZ3770,2024-05-26,Won,No,No,No
AZ3781,2025-02-21,Won,No,Yes,No
AZ4869,2024-12-11,Won,No,No,No
AZ4869,2025-12-11,Won,No,No,No
AZ5234,2024-06-28,Won,No,No,No
AZ6288,2024-05-24,Won,No,No,No
AZ6288,2025-05-24,Won,No,No,No
AZ6487,2024-07-28,Won,No,No,No
AZ6508,2025-02-11,Won,No,No,No
AZ6573,2025-07-25,Won,Yes,No,No
AZ6732,2024-05-24,Churned,No,Yes,No
AZ7700,2024-09-29,Won,No,No,No
AZ7700,2025-09-29,Won,No,Yes,No
AZ7863,2025-07-13,Won,No,No,No
AZ8674,2025-05-10,Won,Yes,Yes,No
AZ9239,2025-04-22,Won,No,unknown,No
BA0285,2025-02-16,Churned,No,Yes,No
BA0626,2024-08-09,Won,No,No,No
